,Company,DiffScore
0,Cashtrack,0.6034
1,NeedyBee,0.569
2,Sociograph Solutions Private Limited,0.2758999999999999
3,Mindler,0.138
4,The Liquidity Marketplace,0.034499999999999975
5,Silkrouter,0.5
6,Inito,0.18969999999999998
7,Mate Labs,0.22410000000000008
8,Brightree Pte Ltd,0.05170000000000008
9,Gava,0.13790000000000002
10,Bukapintu,0.22419999999999995
11,EZkirana,0.08619999999999994
12,SoVou,0.0344000000000001
13,Perkfec,0.29309999999999997
14,Gift on the go,0.1725
15,Eco Homes,0.25860000000000005
16,mayowish,0.2587
17,Towno,0.0862
18,Brilliant Brats,0.44830000000000003
19,Datoin,0.20689999999999997
20,"Bellatrix Aerospace Pvt. Ltd, India",0.5861999999999999
21,Holxo,0.22410000000000002
22,Asisten,0.1207
23,MagoGenie.com,0.8276
24,Learney,0.1034
25,Growth Party,0.22410000000000002
26,Urban Kisan,0.10339999999999999
27,Medera,0.0
28,Grant Uncle,0.2069
