,Company,DiffScore
0,Karma,0.07929999999999993
1,Casky,0.5715000000000001
2,Sustowns,0.3651
3,My Miro Inc.,0.22219999999999995
4,Plunes,0.28580000000000005
5,Ravenry,0.07940000000000003
6,Hydrao,0.07940000000000003
7,Freightkart,0.1905
8,Kakcho,0.5397000000000001
9,Diffuse Energy,0.38099999999999995
10,List,0.3809
11,Vokabee,0.07940000000000003
12,Thrive,0.635
13,Cognicept,0.5873
14,Scrollads,0.31749999999999995
15,Joytu.be,0.42860000000000004
16,Loyal Guest,0.11119999999999997
17,Standard Access,0.3809
18,Grozip,0.41270000000000007
19,TeachnLearn,0.46030000000000004
20,Studeyo,0.1905
21,Taxgenie,0.4127
22,Superprocure,0.031799999999999995
23,Vayu Blossoms,0.28569999999999995
24,Icube,0.31750000000000006
25,Peoplewave,0.5873
26,Sygnal,0.3333
27,Senti,0.3016
28,Crowbar,0.0
29,Portofolio,0.127
30,Faaya,0.31749999999999995
31,Discover Dollar,0.127
32,Asyne,0.0952
33,Hello Leads,0.01580000000000001
34,Nupay,0.33330000000000004
35,Dining Butler,0.1269
36,3Clicks,0.015899999999999997
37,ED Times,0.4286
38,Hopstack,0.8412
39,Darck,0.0476
