,Company,Score
0,Minutes Apps,1.0
1,Inito,0.9828
2,MagoGenie.com,0.9655
3,good ed technologies,0.9483
4,Yellow messenger,0.931
5,LEXiS,0.9138
6,Hungry bags,0.8966
7,"Bellatrix Aerospace Pvt. Ltd, India",0.8793
8,Bukapintu,0.8621
9,Gava,0.8448
10,iDoo,0.8276
11,The Liquidity Marketplace,0.8103
12,Brightree Pte Ltd,0.7931
13,Brilliant Brats,0.7759
14,Leverage.ph,0.7586
15,Bodhi Health Education,0.7414
16,Mindler,0.7241
17,Pipa + Bella,0.7069
18,Gift on the go,0.6897
19,EZkirana,0.6724
20,pets.id,0.6552
21,Sociograph Solutions Private Limited,0.6379
22,TwigMe,0.6207
23,SoVou,0.6034
24,Specific Impulse Technologies ,0.5862
25,Logisure,0.569
26,Nascor Technologies Private Limited,0.5517
27,Mate Labs,0.5345
28,Datoin,0.5172
29,Holxo,0.5
30,Tatolo Stores Pvt Ltd,0.4828
31,Barkero.com,0.4655
32,diplomazee,0.4483
33,Towno,0.431
34,GeoPik,0.4138
35,Petpad,0.3966
36,NeedyBee,0.3793
37,Cashtrack,0.3621
38,VoyageUP,0.3448
39,Silkrouter,0.3276
40,Growth Party,0.3103
41,YuMiGo,0.2931
42,Tooreest Technologies Pte Ltd,0.2759
43,Perkfec,0.2586
44,Grant Uncle,0.2414
45,Korgen,0.2241
46,Copcop,0.2069
47,MATA VR,0.1897
48,Urban Kisan,0.1724
49,Appladi.com,0.1552
50,Savvy Analytics,0.1379
51,Eco Homes,0.1207
52,mayowish,0.1034
53,Asisten,0.0862
54,CommunityZapp,0.069
55,Medera,0.0517
56,Kaiju Den,0.0345
57,e-Wallet.ph,0.0172
58,Learney,0.0
