,Company,DiffScore
0,Karma,0.94445
1,Casky,0.68255
2,Sustowns,0.75395
3,My Miro Inc.,0.8095
4,Plunes,0.7619
5,Ravenry,0.9127000000000001
6,Hydrao,0.8016000000000001
7,Freightkart,0.7301500000000001
8,Kakcho,0.53965
9,Diffuse Energy,0.6032
10,List,0.57145
11,Vokabee,0.7857000000000001
12,Thrive,0.41269999999999996
13,Cognicept,0.42065
14,Scrollads,0.50795
15,Joytu.be,0.4365
16,Loyal Guest,0.6746
17,Standard Access,0.79365
18,Grozip,0.38095
19,TeachnLearn,0.7698499999999999
20,Studeyo,0.39685
21,Taxgenie,0.68255
22,Superprocure,0.46030000000000004
23,Vayu Blossoms,0.28575
24,Icube,0.55555
25,Peoplewave,0.67465
26,Sygnal,0.51585
27,Senti,0.16670000000000001
28,Crowbar,0.254
29,Portofolio,0.1746
30,Faaya,0.38095
31,Discover Dollar,0.254
32,Asyne,0.1111
33,Hello Leads,0.1508
34,Nupay,0.27775
35,Dining Butler,0.14285
36,3Clicks,0.07145
37,ED Times,0.246
38,Hopstack,0.4365
39,Darck,0.0238
