,Company,Score
0,UniHyr,1.0
1,Karma,0.9841
2,Casky,0.9683
3,Kyte.ai,0.9524
4,Sustowns,0.9365
5,My Miro Inc.,0.9206
6,Plunes,0.9048
7,X0PA AI,0.8889
8,Ravenry,0.873
9,Mycooey,0.8571
10,Hydrao,0.8413
11,Freightkart,0.8254
12,Kakcho,0.8095
13,Diffuse Energy,0.7937
14,Daktaronline,0.7778
15,List,0.7619
16,Vokabee,0.746
17,Thrive,0.7302
18,Cognicept,0.7143
19,Travel Dil Se India Pvt Ltd,0.6984
20,Hippo&Crate,0.6825
21,Scrollads,0.6667
22,Joytu.be,0.6508
23,Freelor Pte Ltd,0.6349
24,Loyal Guest,0.619
25,Standard Access,0.6032
26,Grozip,0.5873
27,EventValue,0.5714
28,ayubo.life,0.5556
29,TeachnLearn,0.5397
30,EkkBaz,0.5238
31,Lily,0.5079
32,Studeyo,0.4921
33,Taxgenie,0.4762
34,Margosa,0.4603
35,Superprocure,0.4444
36,Vayu Blossoms,0.4286
37,Thecorpora,0.4127
38,Icube,0.3968
39,Peoplewave,0.381
40,Elle.bot  [Intellibuzz],0.3651
41,Sygnal,0.3492
42,PHUNDO FINTECH INDIA PRIVATE LIMITED,0.3333
43,Senti,0.3175
44,Aas Vidyalaya,0.3016
45,Bid4skill,0.2857
46,Yottol Financial Services,0.2698
47,Crowbar,0.254
48,Portofolio,0.2381
49,Faaya,0.2222
50,Flint (Infiverve Technologies Pte Ltd),0.2063
51,Discover Dollar,0.1905
52,Dronything,0.1746
53,Asyne,0.1587
54,Hello Leads,0.1429
55,AIMLedge,0.127
56,Nupay,0.1111
57,Proxy,0.0952
58,Dining Butler,0.0794
59,3Clicks,0.0635
60,Giosenz,0.0476
61,ED Times,0.0317
62,Hopstack,0.0159
63,Darck,0.0
