,Company,Score
0,Pipa&Bella,1.0
1,Hungry Bags,0.9828
2,Cashtrack,0.9655
3,NeedyBee,0.9483
4,PetPad,0.931
5,Sociograph Solutions Private Limited,0.9138
6,Leverage PH,0.8966
7,Kaijuden,0.8793
8,Mindler,0.8621
9,The Liquidity Marketplace,0.8448
10,Silkrouter,0.8276
11,Ligisure,0.8103
12,Inito,0.7931
13,Voyage UP,0.7759
14,Mate Labs,0.7586
15,Brightree Pte Ltd,0.7414
16,Community Zapp,0.7241
17,Gava,0.7069
18,Nascor,0.6897
19,Appladi,0.6724
20,Bodhi health,0.6552
21,Bukapintu,0.6379
22,Specific Impulse,0.6207
23,Twig Me,0.6034
24,EZkirana,0.5862
25,SoVou,0.569
26,Perkfec,0.5517
27,Idoo,0.5345
28,Gift on the go,0.5172
29,Diplomazee International Pte Ltd,0.5
30,Gift On The Go,0.4828
31,MINUTES APPS,0.4655
32,Pets-Id,0.4483
33,Tooreest,0.431
34,MataVR,0.4138
35,barkero,0.3966
36,Eco Homes,0.3793
37,mayowish,0.3621
38,Towno,0.3448
39,Brilliant Brats,0.3276
40,Datoin,0.3103
41,"Bellatrix Aerospace Pvt. Ltd, India",0.2931
42,Holxo,0.2759
43,CopCop,0.2586
44,Korgen technology ,0.2414
45,Talolo Stores,0.2241
46,Asisten,0.2069
47,LEXis,0.1897
48,GoodEd Technologies,0.1724
49,Yellow Messenger,0.1552
50,MagoGenie.com,0.1379
51,Geopik,0.1207
52,Learney,0.1034
53,Growth Party,0.0862
54,Urban Kisan,0.069
55,Medera,0.0517
56,Grant Uncle,0.0345
57,ewallet,0.0172
58,Yumigo,0.0
