,Company,DiffScore
0,Cashtrack,0.6638
1,NeedyBee,0.6638000000000001
2,Sociograph Solutions Private Limited,0.7758499999999999
3,Mindler,0.7930999999999999
4,The Liquidity Marketplace,0.82755
5,Silkrouter,0.5776
6,Inito,0.88795
7,Mate Labs,0.64655
8,Brightree Pte Ltd,0.76725
9,Gava,0.7758499999999999
10,Bukapintu,0.75
11,EZkirana,0.6293
12,SoVou,0.5862
13,Perkfec,0.40515
14,Gift on the go,0.60345
15,Eco Homes,0.25
16,mayowish,0.23274999999999998
17,Towno,0.3879
18,Brilliant Brats,0.55175
19,Datoin,0.41375
20,"Bellatrix Aerospace Pvt. Ltd, India",0.5862
21,Holxo,0.38795
22,Asisten,0.14655
23,MagoGenie.com,0.5517
24,Learney,0.0517
25,Growth Party,0.19825
26,Urban Kisan,0.1207
27,Medera,0.0517
28,Grant Uncle,0.13795000000000002
